timestamp,open,high,low,close,volume
2025-05-30 17:00:00+00:00,4.092,4.136,4.0866,4.1358,802676.6
2025-05-30 18:00:00+00:00,4.1358,4.1834,4.1255,4.1772,443991.4
2025-05-30 19:00:00+00:00,4.1772,4.194,4.1718,4.18,211180.0
2025-05-30 20:00:00+00:00,4.18,4.1835,4.1488,4.1498,232535.5
2025-05-30 21:00:00+00:00,4.1498,4.1665,4.116,4.1255,283484.4
2025-05-30 22:00:00+00:00,4.1255,4.1367,4.0373,4.0393,708662.9
2025-05-30 23:00:00+00:00,4.0393,4.0687,4.0,4.0456,1014585.8
2025-05-31 00:00:00+00:00,4.0456,4.0607,3.947,3.9812,1106479.2
2025-05-31 01:00:00+00:00,3.9812,4.0193,3.9043,3.9599,1262040.8
2025-05-31 02:00:00+00:00,3.9599,4.004,3.9325,3.9405,436332.3
2025-05-31 03:00:00+00:00,3.9405,3.9656,3.8904,3.9584,618254.0
2025-05-31 04:00:00+00:00,3.9584,3.9879,3.923,3.9839,236250.9
2025-05-31 05:00:00+00:00,3.9839,3.9923,3.9601,3.9609,243334.6
2025-05-31 06:00:00+00:00,3.9609,4.0043,3.9566,3.99,240015.0
2025-05-31 07:00:00+00:00,3.99,4.0082,3.9814,3.9829,304532.9
2025-05-31 08:00:00+00:00,3.9829,4.0081,3.9642,3.9865,372986.0
2025-05-31 09:00:00+00:00,3.9865,4.0,3.9624,3.978,162837.7
2025-05-31 10:00:00+00:00,3.978,4.0133,3.9612,3.9852,287266.6
2025-05-31 11:00:00+00:00,3.9852,3.9887,3.9632,3.9778,125921.0
2025-05-31 12:00:00+00:00,3.9778,4.0554,3.9711,4.0553,330950.6
2025-05-31 13:00:00+00:00,4.0553,4.0822,4.0429,4.0541,448148.4
2025-05-31 14:00:00+00:00,4.0541,4.0918,4.0516,4.0865,249551.9
2025-05-31 15:00:00+00:00,4.0865,4.1178,4.0686,4.076,641397.2
2025-05-31 16:00:00+00:00,4.076,4.1172,4.0661,4.1013,303428.2
2025-05-31 17:00:00+00:00,4.1013,4.1042,4.0642,4.069,269177.8
2025-05-31 18:00:00+00:00,4.069,4.0985,4.0656,4.0914,117764.9
2025-05-31 19:00:00+00:00,4.0914,4.108,4.0889,4.0936,181331.7
2025-05-31 20:00:00+00:00,4.0936,4.1027,4.0802,4.1004,183449.5
2025-05-31 21:00:00+00:00,4.1004,4.1147,4.0951,4.0982,297697.3
2025-05-31 22:00:00+00:00,4.0982,4.104,4.0725,4.0733,186821.0
2025-05-31 23:00:00+00:00,4.0733,4.0934,4.0663,4.0733,235674.2
2025-06-01 00:00:00+00:00,4.0733,4.0745,4.046,4.0662,165327.3
2025-06-01 01:00:00+00:00,4.0662,4.0849,4.0354,4.05,193132.3
2025-06-01 02:00:00+00:00,4.05,4.0707,4.0237,4.064,641186.0
2025-06-01 03:00:00+00:00,4.064,4.0787,4.0421,4.064,180081.0
2025-06-01 04:00:00+00:00,4.064,4.0993,4.0563,4.0838,219777.9
2025-06-01 05:00:00+00:00,4.0838,4.0939,4.0654,4.0724,201876.0
2025-06-01 06:00:00+00:00,4.0724,4.0739,4.0448,4.05,245232.6
2025-06-01 07:00:00+00:00,4.05,4.0534,4.0335,4.0432,215262.4
2025-06-01 08:00:00+00:00,4.0432,4.0456,4.0139,4.0241,304917.0
2025-06-01 09:00:00+00:00,4.0241,4.0352,3.9661,3.9944,500033.6
2025-06-01 10:00:00+00:00,3.9944,4.0088,3.9801,4.007,184606.4
2025-06-01 11:00:00+00:00,4.007,4.0333,3.996,4.0218,243968.3
2025-06-01 12:00:00+00:00,4.0218,4.031,3.9876,4.0019,247835.9
2025-06-01 13:00:00+00:00,4.0019,4.0274,3.9989,4.0152,236169.9
2025-06-01 14:00:00+00:00,4.0152,4.0638,4.0152,4.0438,237304.5
2025-06-01 15:00:00+00:00,4.0438,4.053,4.0327,4.0461,117932.4
2025-06-01 16:00:00+00:00,4.0461,4.0846,4.0393,4.0637,350990.2
2025-06-01 17:00:00+00:00,4.0637,4.0676,4.0473,4.0534,149219.6
2025-06-01 18:00:00+00:00,4.0534,4.054,3.9909,4.0202,379231.5
2025-06-01 19:00:00+00:00,4.0202,4.0387,4.0174,4.0369,202812.7
2025-06-01 20:00:00+00:00,4.0369,4.0491,4.0204,4.0267,218655.8
2025-06-01 21:00:00+00:00,4.0267,4.0659,4.0245,4.0599,177849.0
2025-06-01 22:00:00+00:00,4.0599,4.0788,4.05,4.0586,131717.9
2025-06-01 23:00:00+00:00,4.0586,4.0789,4.0575,4.0628,166372.7
2025-06-02 00:00:00+00:00,4.0628,4.0719,4.0512,4.0589,141302.7
