test_id,symbol,interval,short_ma,long_ma,use_rsi_filter,rsi_period,rsi_oversold,rsi_overbought,train_final_balance,test_final_balance,max_drawdown_pct,win_rate_pct
66,ETHUSDT,1,10,100,False,14,30,70,10000.0,10596.73,0.0,0.0
60,ETHUSDT,1,5,100,False,14,30,70,10000.0,10596.01,0.0,0.0
68,ETHUSDT,1,20,30,False,14,30,70,10000.0,10585.16,0.0,0.0
56,ETHUSDT,1,5,30,False,14,30,70,10000.0,10583.9,0.0,0.0
64,ETHUSDT,1,10,50,False,14,30,70,10000.0,10583.24,0.0,0.0
58,ETHUSDT,1,5,50,False,14,30,70,10000.0,10581.45,0.0,0.0
62,ETHUSDT,1,10,30,False,14,30,70,10000.0,10581.08,0.0,0.0
72,ETHUSDT,1,20,100,False,14,30,70,10000.0,10579.99,0.0,0.0
70,ETHUSDT,1,20,50,False,14,30,70,10000.0,10578.71,0.0,0.0
121,BNBUSDT,1,20,30,True,14,30,70,10000.0,10058.51,0.0,0.0
