entry_interval,exit_offset,train_final_balance,test_final_balance
15,7,13675.017925000055,17553.946549999753
10,3,11890.765699999974,16803.295725000116
10,5,10433.723149999594,16562.26594999987
10,7,11142.450049999301,13431.87939999992
5,7,7043.593150000194,12767.612299999804
15,5,10608.26219999972,12545.276425000098
15,3,8764.802950000298,10875.271249999969
5,5,10536.965774999477,4969.629325000346
5,3,9359.575050000232,136.10362499992283
