entry_interval,exit_offset,train_final_balance,test_final_balance
10,3,11486.437025000238,14258.486924999765
10,5,14459.749799999787,13252.17342499998
10,7,11921.576800000114,12436.6386249997
5,7,12771.004950000353,9998.210775000489
15,3,15345.078099999804,7354.267300000167
15,7,13682.023900000075,6675.3035250002185
15,5,15307.7463500001,6136.349850000208
5,5,14279.50087499988,5131.643300000573
5,3,15452.148899999449,2729.6543750007277
